Category	Procedure	CPT code
Nose	Sinus/Turbinates Bilateral (Simple)	
Nose	Sinus/Turbinates Unilateral (Complex)	
Nose	Sinus/Turbinates Unilateral (Simple)	
Nose	Tonsillectomy and Nasal Turbinate Reduction	42826,30140
Nose	Tonsillectomy, Adenoidectomy and Nasal Turbinate Reduction	42820,30140
Nose	Tonsillectomy, Adenoidectomy and Septoplasty	42820,30520
Oral-Maxillofacial	Tonsillectomy, Adenoidectomy, Ear Tubes, Nasal Turbinate Reduction	42820,69436,30140
Oral-Maxillofacial	Cleft Lip/Palate Repair (Complex)	40701,40702,30462,42205,42200,42210,42215
Oral-Maxillofacial	Cleft Lip/Palate Repair (Simple)	40700,30460,30600,40720
Oral-Maxillofacial	Excise Nasal Palatine Cyst with Maxillary Bone Graft	21210,21030
Oral-Maxillofacial	Excision Mouth Lesion, Mucosa/Submucosa	40812
Oral-Maxillofacial	Fracture, Complex	21470
Oral-Maxillofacial	Fracture, Intermediate	21462
Oral-Maxillofacial	Fracture, Simple, Closed Reduction	21451
Oral-Maxillofacial	Fracture, Simple, Open	21461
Oral-Maxillofacial	Frenuloplasty	41520
Oral-Maxillofacial	Frenulotomy	41010
Oral-Maxillofacial	Genioplasty	21121
Oral-Maxillofacial	Lefort 1, Complex	21142,21147
Oral-Maxillofacial	Lefort 1, Simple	21141
Oral-Maxillofacial	Lesion Excision (Adjacent Tissue Transfer)	14060
Oral-Maxillofacial	Mandibular and Maxillary Osteotomy	21143,21196
Oral-Maxillofacial	Orbital Floor Fracture Repair (Includes Implants)	21390,21395
Oral-Maxillofacial	Osteotomy, Complex	21198
Oral-Maxillofacial	Osteotomy, Simple	21196,21240
Oral-Maxillofacial	TMJ Arthrocentesis, Bilateral	20605
Oral-Maxillofacial	TMJ Arthroplasty, Bilateral (Both Sides)	21240-50,21242-50
Oral-Maxillofacial	TMJ Arthroplasty, Unilateral (One Side)	21240,21242
Oral-Maxillofacial	TMJ Arthroplasty, Unilateral, with Osteotomy	21240,21242,21193
Oral-Maxillofacial	Tongue Lesion Excision with Closure	41113,41114
Oral-Maxillofacial	Tooth Implant	6010
Pain	Wedge Excision, Lip Lesion	40510
Pain	Bilateral Cervical Facet Injection ($150 For Each Additional Level, Office)	64490-50
Pain	Bilateral Cervical RFA 1 Level (With Sedation)	64633-50
